Nome do alimento,Hidratos de carbono (CHO)
"Frango (1/4 de frango), peito e asa com pele cru",0
"Frango (1/4 de frango), peito e asa com pele estufado com azeite e margarina",1.7
"Frango (1/4 de frango), peito e asa com pele estufado com margarina",1.7
"Frango (1/4 de frango), peito e asa com pele estufado, sem molho",0
"Frango (1/4 de frango), peito e asa com pele grelhado",0
"Frango (1/4 de frango), perna com pele assada, sem molho",0
"Frango (1/4 de frango), perna com pele cozida",0
"Frango (1/4 de frango), perna com pele crua",0
"Frango (1/4 de frango), perna com pele estufada com azeite e margarina",1.7
"Frango (1/4 de frango), perna com pele estufada com margarina",1.7
"Frango (1/4 de frango), perna com pele estufada, sem molho",0
"Frango (1/4 de frango), perna com pele grelhada",0
"Frango inteiro com pele assado, sem molho",0
Frango inteiro com pele cozido,0
Frango inteiro com pele cru,0
Frango inteiro com pele estufado com azeite e margarina,1.8
Frango inteiro com pele estufado com margarina,1.8
"Frango inteiro com pele estufado, sem molho",0
Frango inteiro com pele grelhado,0
Frango inteiro sem pele cozido,0
Frango inteiro sem pele cru,0
Frango inteiro sem pele estufado com azeite e margarina,1.7
Frango inteiro sem pele estufado com margarina,1.7
"Frango inteiro sem pele estufado, sem molho",0
Frango inteiro sem pele grelhado,0
"Frango, pele crua",0
Garoupa cozida,0
Garoupa crua,0
Garoupa grelhada,0
Gelado caseiro com bolachas e natas,36.5
Gelado caseiro com palitos la Reine,28.7
Gelado de água (sorvete),32.6
Gelado de leite,21.7
Gelatina desidratada (pó ou folha),0
Gelatina preparada com ananás em conserva,21.6
Gelatina preparada com laranja e sumo de laranja,17.4
Geleia de casca de laranja,68
Gin - Rum- Whisky,0
Ginja,11.5
"Goraz assado com cebola, tomate, azeite e óleo alimentar",1.5
Goraz cozido,0
Goraz cru,0
Goraz grelhado,0
Goraz no forno,0.7
Grão-de-bico cozido (demolhado),16.7
Grão-de-bico cru,51.4
Grelos de couve cozidos,1.5
Grelos de couve crus,2.5
Grelos de nabo cozidos,1.3
Grelos de nabo crus,2.3
Gressino,67
"Hambúrguer de peru, frito",3
"Hambúrguer de porco, frito, sem molho",0
"Hambúrguer de porco, grelhado",0
"Hambúrguer de vaca, cru",0
"Hambúrguer de vaca, grelhado",0
"Hambúrguer vaca, frito ",1.2
"Imperador assado com cebola, tomate, azeite e óleo alimentar",1.4
Imperador cozido,0
Imperador cru,0
Imperador grelhado,0
Iogurte açucarado batido gordo com cereais e fruta,15.8
Iogurte açucarado batido gordo com fruta,12.4
Iogurte açucarado batido meio gordo,13.1
Iogurte açucarado batido meio gordo com fruta,14.6
"Iogurte açucarado com edulcorante de síntese, batido magro com cereais",5.7
"Iogurte açucarado com edulcorante de síntese, sólido magro",6.3
Iogurte açucarado líquido meio gordo,11.2
Iogurte aromatizado açucarado batido gordo,8.5
Iogurte aromatizado açucarado batido meio gordo,12.5
Iogurte aromatizado açucarado líquido magro,11.6
Iogurte aromatizado açucarado líquido meio gordo,11.5
Iogurte aromatizado açucarado sólido magro,11.8
Iogurte aromatizado açucarado sólido meio gordo,10.1
Iogurte natural sólido magro,5.2
Iogurte natural sólido meio gordo,5
Jesuíta,54
Lagosta cozida,0.2
Lagostim cozido,0.2
Lagostim cru,0.2
Laranja (3 variedades),8.9
Lasanha à bolonhesa,9.5
"Leite condensado, de vaca",56.4
Leite creme,19.5
Leite de cabra cru,4.6
Leite de ovelha cru,4.2
Leite de vaca em pó gordo,38.7
Leite de vaca em pó magro,52.7
Leite de vaca em pó meio gordo,45.6
Leite de vaca esterilizado achocolatado meio gordo,9.9
Leite de vaca esterilizado gordo,4.5
Leite de vaca esterilizado magro,4.7
Leite de vaca esterilizado meio gordo,4.7
Leite de vaca pasteurizado gordo,4.7
Leite de vaca pasteurizado gordo especial,4.8
Leite de vaca UHT aromatizado meio gordo,7.9
Leite de vaca UHT gordo,4.7
Leite de vaca UHT magro,4.9
Leite de vaca UHT meio gordo,4.9
"Leite evaporado, de vaca",9.8
Leite humano,7.5
"Leite humano, colostro",6.3
"Leite humano, transição",6.6
Lentilhas secas cozidas,16.7
Lentilhas secas cruas,47.6
Licor beneditino,34.8
Licor de anis,36
Licor de ginja,19
Licor simples,24.4
Limão,1.9
"Língua de vaca, crua",0
"Língua de vaca, estufada, sem molho",0
Linguado cru,0
Linguado frito,2.7
Linguado grelhado,0
Linguiça,0
Lombo de porco assado com azeite e margarina,0.2
Lombo de porco assado com margarina,0
Lombo de porco assado com óleo alimentar e margarina,0.2
"Lombo de porco assado, sem molho",0
Lombo de porco cru,0
Lombo de porco frito com manteiga,0
Lombo de porco frito com margarina,0
Lombo de porco grelhado,0
